,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FCGR1B,4.91E-106,0.692905025,0.701,0.311,1.27E-101
TSPO,3.01E-206,0.692729759,1,0.949,7.81E-202
TXNRD2,3.27E-87,0.69158225,0.49,0.191,8.49E-83
MED7,2.32E-77,0.690292109,0.396,0.149,6.03E-73
MYL12B,3.74E-150,0.688949312,0.999,0.879,9.70E-146
ECH1,6.63E-110,0.688011788,0.949,0.61,1.72E-105
BHLHE41,4.80E-98,0.687932587,0.821,0.415,1.25E-93
Sep-04,4.93E-56,0.68747843,0.27,0.1,1.28E-51
MYL12A,1.22E-171,0.685683858,1,0.928,3.16E-167
LPL,1.40E-118,0.685532503,0.911,0.475,3.63E-114
GSTO1,1.09E-169,0.684354826,1,0.899,2.82E-165
ACAA2,1.61E-101,0.681619347,0.815,0.412,4.19E-97
GS1-600G8.5,4.81E-77,0.679490122,0.464,0.196,1.25E-72
TSFM,3.70E-76,0.677858025,0.388,0.146,9.60E-72
GLB1,3.79E-98,0.677750588,0.776,0.371,9.84E-94
SLC44A2,6.79E-78,0.676257127,0.421,0.161,1.76E-73
ACO1,2.90E-95,0.674174525,0.711,0.328,7.52E-91
S100A4,6.89E-156,0.673399867,1,0.968,1.79E-151
LYAR,2.10E-93,0.673290632,0.864,0.469,5.45E-89
HEXB,5.37E-123,0.672533239,0.997,0.804,1.39E-118
CARD16,9.82E-123,0.670325276,0.993,0.717,2.55E-118
RMDN3,1.15E-100,0.669653533,0.947,0.567,2.97E-96
CTSW,1.53E-76,0.669031569,0.434,0.173,3.97E-72
BPHL,6.28E-67,0.667011323,0.299,0.105,1.63E-62
BPNT1,5.57E-75,0.666143798,0.317,0.108,1.44E-70
TMEM173,7.91E-100,0.666078587,0.879,0.459,2.05E-95
CC2D2A,4.62E-51,0.663686163,0.252,0.094,1.20E-46
PBDC1,2.72E-107,0.663434586,0.848,0.419,7.05E-103
LTA4H,6.27E-124,0.660741988,0.998,0.768,1.63E-119
CD151,5.31E-113,0.660711365,0.989,0.703,1.38E-108
ALG8,3.33E-72,0.66049193,0.362,0.135,8.65E-68
PROS1,1.51E-84,0.660284873,0.491,0.194,3.93E-80
TAGLN,9.79E-76,0.65999472,0.552,0.241,2.54E-71
CD300C,1.27E-84,0.658065143,0.553,0.23,3.30E-80
HMCES,2.07E-76,0.657546498,0.425,0.165,5.36E-72
EVL,1.68E-102,0.657142888,0.974,0.644,4.36E-98
SPR,6.08E-77,0.656240429,0.482,0.198,1.58E-72
FOLR1,1.17E-47,0.653850622,0.274,0.112,3.03E-43
CCT5,9.41E-101,0.651090804,0.918,0.519,2.44E-96
MTHFD1,1.15E-76,0.648886115,0.463,0.186,2.99E-72
VSIG4,2.31E-107,0.648500493,0.995,0.793,6.00E-103
BST1,7.94E-95,0.648013293,0.789,0.38,2.06E-90
CORO2A,6.22E-90,0.647721598,0.575,0.236,1.61E-85
PSMA3,3.70E-100,0.647510478,0.899,0.52,9.60E-96
EMC2,2.83E-92,0.644361143,0.506,0.196,7.35E-88
DHRS7,1.43E-102,0.644209201,0.913,0.517,3.71E-98
PCK2,1.26E-77,0.64407373,0.525,0.222,3.27E-73
REEP5,1.09E-103,0.643751046,0.982,0.726,2.84E-99
ATP6V1E1,6.13E-105,0.643060611,0.966,0.626,1.59E-100
KAZALD1,1.52E-58,0.642517046,0.294,0.109,3.93E-54
PELO,1.21E-63,0.641688165,0.428,0.183,3.14E-59
ANXA5,4.31E-180,0.640867942,1,0.93,1.12E-175
SPN,1.02E-99,0.637047395,0.953,0.553,2.64E-95
C21orf59,1.75E-77,0.636960081,0.504,0.213,4.55E-73
GPATCH11,8.44E-85,0.636720787,0.508,0.204,2.19E-80
USP30-AS1,5.36E-92,0.636485432,0.67,0.299,1.39E-87
UTP3,2.23E-86,0.636124166,0.478,0.184,5.79E-82
ALOX5AP,4.82E-136,0.635563911,0.997,0.867,1.25E-131
FCGR1A,1.55E-99,0.635415045,0.972,0.636,4.02E-95
ALOX5,2.69E-105,0.63539021,0.994,0.747,6.97E-101
AC011899.9,1.66E-72,0.635150329,0.378,0.141,4.30E-68
SSB,2.09E-104,0.634729617,0.962,0.6,5.41E-100
SLC3A2,3.20E-95,0.633818441,0.937,0.572,8.29E-91
CCL23,2.15E-86,0.63179259,0.554,0.243,5.58E-82
BSG,1.09E-99,0.62823046,0.986,0.756,2.83E-95
CLDN7,1.50E-96,0.627646907,0.756,0.346,3.88E-92
EMC7,6.51E-92,0.626788966,0.898,0.514,1.69E-87
